descricao,link_para_publicacao
22/23 Flamengo 1,https://qiuquanyouji.x.yupoo.com/albums/110521333?uid=1
22/23 Flamengo 2,https://qiuquanyouji.x.yupoo.com/albums/114281467?uid=1
22/23 Palmeiras 1,https://qiuquanyouji.x.yupoo.com/albums/110220613?uid=1
22/23 Palmeiras 2,https://qiuquanyouji.x.yupoo.com/albums/110220592?uid=1
22/23 Internacional 1,https://qiuquanyouji.x.yupoo.com/albums/113711407?uid=1
22/23 Internacional 2,https://qiuquanyouji.x.yupoo.com/albums/115275360?uid=1
22/23 Fluminense 1,https://qiuquanyouji.x.yupoo.com/albums/114518535?uid=1
22/23 Fluminense 2,https://qiuquanyouji.x.yupoo.com/albums/118198939?uid=1
22/23 Corinthians 1,https://qiuquanyouji.x.yupoo.com/albums/114252260?uid=1
22/23 Corinthians 2,https://qiuquanyouji.x.yupoo.com/albums/114653267?uid=1
ATLÉTICO PARANAENSE 1,https://qiuquanyouji.x.yupoo.com/albums/95494614?uid=1
ATLÉTICO PARANAENSE 2,https://qiuquanyouji.x.yupoo.com/albums/95494631?uid=1
22/23 Atletico Mineiro 1,https://qiuquanyouji.x.yupoo.com/albums/119893992?uid=1
22/23 Atletico Mineiro 2,https://qiuquanyouji.x.yupoo.com/albums/119689119?uid=1
20/21 Fortaleza home,https://qiuquanyouji.x.yupoo.com/albums/95495784?uid=1
2022 Fortaleza White,https://qiuquanyouji.x.yupoo.com/albums/114653266?uid=1
21/22 Sao Paulo,https://qiuquanyouji.x.yupoo.com/albums/95507380?uid=1
22/23 Sao Paulo,https://qiuquanyouji.x.yupoo.com/albums/116997512?uid=1
22/23 Mineiro America,https://qiuquanyouji.x.yupoo.com/albums/115275070?uid=1
20/21 Botafogo,https://qiuquanyouji.x.yupoo.com/albums/95503013?uid=1
21/22 Botafogo away Black,https://qiuquanyouji.x.yupoo.com/albums/100357978?uid=1
22/23 Santos 1,https://qiuquanyouji.x.yupoo.com/albums/114262874?uid=1
22/23 Santos 2,https://qiuquanyouji.x.yupoo.com/albums/114252235?uid=1
22 / 23 RB bragantino white,https://qiuquanyouji.x.yupoo.com/albums/114949301?uid=1
22/23 RB bragantino black,https://qiuquanyouji.x.yupoo.com/albums/115214435?uid=1
